_id,ลำดับ,รายละเอียด,สำนักงานเขต,สน.พื้นที่,พิกัด,พื้นที่ความรับผิดชอบ
113,113,แยกศรีอุดม (ถนนศรีนครินทร์ - ถนนเฉลิมพระเกียรติ ร.9),ประเวศ,"พระโขนง,บางนา,ประเวศ","13.677827, 100.646036",กรุงเทพมหานคร
114,114,แยกอโศก-เพชรบุรี,ราชเทวี,มักกะสัน,"13.748989, 100.563358",กรุงเทพมหานคร
115,115,แยกดินแดง (ถ.ดินแดง - ถ.วิภาวดีรังสิต),ดินแดง,ดินแดง,"13.763922, 100.548095",กรุงเทพมหานคร
116,116,แยกผังเมือง และบนสะพานข้ามแยก อสมท.,ห้วยขวาง,ห้วยขวาง,"13.755550, 100.573383",กรุงเทพมหานคร
117,117,สี่แยกบ้านแขก (ถนนประชาธิปก - ถนนอิสรภาพ),ธนบุรี,"บางยี่เรือ,บุปผาราม","13.730929, 100.494686",กรุงเทพมหานคร
118,118,ถนนดินแดง ใกล้สามเหลี่ยมดินแดง,ราชเทวี,พญาไท,"13.763400, 100.545385",กรุงเทพมหานคร
119,119,ถนนพระราม 9 บริเวณข้ามคลองชวดใหญ่,ห้วยขวาง,"วังทองหลาง,ห้วยขวาง","13.754742, 100.581257",กรุงเทพมหานคร
120,120,สะพานสูงบางซื่อ,บางซื่อ,เตาปูน,"13.804541, 100.535867",กรุงเทพมหานคร
121,121,ถนนสุขุมวิท ตัดถนนอ่อนนุช (สุขุมวิท 77),คลองเตย,พระโขนง,"13.709104, 100.599430",กรุงเทพมหานคร
122,122,แยกพระราม 9 (ถนนพระราม 9 - ถนนรัชดาภิเษก),ห้วยขวาง,ห้วยขวาง,"13.756141, 100.564988",กรุงเทพมหานคร
123,123,ถนนเพชรบุรีตัดใหม่ (โรงเรียนวัดใหม่ช่องลม - ปั้มน้ำมันเชลล์),ห้วยขวาง,มักกะสัน,"13.746894,100.575076",กรุงเทพมหานคร
124,124,ถนนรัชดาภิษก ใกล้แยกรัชโยธิน (ซอยรัชดาฯ 44),จตุจักร,พหลโยธิน,"13.825968, 100.570188",กรุงเทพมหานคร
125,125,แยกมักกะสัน (ถนนราชปรารถ - ถนนศรีอยุธยา),ราชเทวี,พญาไท,"13.756118, 100.542398",กรุงเทพมหานคร
126,126,ถนนพัฒนาการ อุโมงค์ถนนพัฒนาการ,สวนหลวง,คลองตัน,"13.736468, 100.616351",กรุงเทพมหานคร
